week_start,status,run_id,report_path,action,notes,exit_code
2025-12-29,success,weekly_fact_ingestion_2025-12-29_f9672f72,/Users/Peter/Documents/Morpheus Metrics/generated/weekly_fact_ingestion_run_report.csv,executed,,0
2026-01-05,success,weekly_fact_ingestion_2026-01-05_c203f299,/Users/Peter/Documents/Morpheus Metrics/generated/weekly_fact_ingestion_run_report.csv,executed,,0
2026-01-12,success,weekly_fact_ingestion_2026-01-12_13d11295,/Users/Peter/Documents/Morpheus Metrics/generated/weekly_fact_ingestion_run_report.csv,executed,,0
2026-01-19,success,weekly_fact_ingestion_2026-01-19_b0ddc343,/Users/Peter/Documents/Morpheus Metrics/generated/weekly_fact_ingestion_run_report.csv,executed,,0
2026-01-26,success,weekly_fact_ingestion_2026-01-26_e39d214a,/Users/Peter/Documents/Morpheus Metrics/generated/weekly_fact_ingestion_run_report.csv,executed,,0
2026-02-02,success,weekly_fact_ingestion_2026-02-02_d1a89101,/Users/Peter/Documents/Morpheus Metrics/generated/weekly_fact_ingestion_run_report.csv,executed,,0
2026-02-09,success,weekly_fact_ingestion_2026-02-09_810782d2,/Users/Peter/Documents/Morpheus Metrics/generated/weekly_fact_ingestion_run_report.csv,executed,,0
2026-02-16,success,weekly_fact_ingestion_2026-02-16_1fe09fa7,/Users/Peter/Documents/Morpheus Metrics/generated/weekly_fact_ingestion_run_report.csv,executed,,0
2026-02-23,success,weekly_fact_ingestion_2026-02-23_0d12bad9,/Users/Peter/Documents/Morpheus Metrics/generated/weekly_fact_ingestion_run_report.csv,executed,,0
2026-03-02,failed,,,executed,"{""run_id"": ""weekly_fact_ingestion_2026-03-02_b25b8bb8"", ""week_start"": ""2026-03-02"", ""overall_status"": ""failed"", ""steps_total"": 1, ""steps_success"": 0, ""steps_pending"": 0, ""steps_failed"": 1, ""report_path"": ""/Users/Peter/Documents/Morpheus Metrics/generated/weekly_fact_ingestion_run_report.csv""}",1
2026-03-09,success,weekly_fact_ingestion_2026-03-09_34a9598f,/Users/Peter/Documents/Morpheus Metrics/generated/weekly_fact_ingestion_run_report.csv,executed,,0
2026-03-16,success,weekly_fact_ingestion_2026-03-16_9094cb89,/Users/Peter/Documents/Morpheus Metrics/generated/weekly_fact_ingestion_run_report.csv,executed,,0
2026-03-23,success,weekly_fact_ingestion_2026-03-23_fa674513,/Users/Peter/Documents/Morpheus Metrics/generated/weekly_fact_ingestion_run_report.csv,executed,,0
2026-03-30,success,weekly_fact_ingestion_2026-03-30_68f1ab9c,/Users/Peter/Documents/Morpheus Metrics/generated/weekly_fact_ingestion_run_report.csv,executed,,0
2026-04-06,success,weekly_fact_ingestion_2026-04-06_eea11839,/Users/Peter/Documents/Morpheus Metrics/generated/weekly_fact_ingestion_run_report.csv,executed,,0
2026-04-13,failed,,,executed,"{""run_id"": ""weekly_fact_ingestion_2026-04-13_f9ec1db5"", ""week_start"": ""2026-04-13"", ""overall_status"": ""failed"", ""steps_total"": 1, ""steps_success"": 0, ""steps_pending"": 0, ""steps_failed"": 1, ""report_path"": ""/Users/Peter/Documents/Morpheus Metrics/generated/weekly_fact_ingestion_run_report.csv""}",1
2026-04-20,failed,,,executed,"{""run_id"": ""weekly_fact_ingestion_2026-04-20_39e87cd6"", ""week_start"": ""2026-04-20"", ""overall_status"": ""failed"", ""steps_total"": 1, ""steps_success"": 0, ""steps_pending"": 0, ""steps_failed"": 1, ""report_path"": ""/Users/Peter/Documents/Morpheus Metrics/generated/weekly_fact_ingestion_run_report.csv""}",1
2026-04-27,success,weekly_fact_ingestion_2026-04-27_85940f61,/Users/Peter/Documents/Morpheus Metrics/generated/weekly_fact_ingestion_run_report.csv,executed,,0
2026-05-04,success,weekly_fact_ingestion_2026-05-04_5ccd6882,/Users/Peter/Documents/Morpheus Metrics/generated/weekly_fact_ingestion_run_report.csv,executed,,0
2026-05-11,success,weekly_fact_ingestion_2026-05-11_130b7665,/Users/Peter/Documents/Morpheus Metrics/generated/weekly_fact_ingestion_run_report.csv,executed,,0
2026-05-18,success,weekly_fact_ingestion_2026-05-18_76cb0852,/Users/Peter/Documents/Morpheus Metrics/generated/weekly_fact_ingestion_run_report.csv,executed,,0
2026-05-25,success,weekly_fact_ingestion_2026-05-25_93acf2f1,/Users/Peter/Documents/Morpheus Metrics/generated/weekly_fact_ingestion_run_report.csv,executed,,0
