entry_date,amount_rub,source_group,entry_note
2026-03-14,2000000,dividends_net_total,общая сумма дивидендов чистые
2026-03-23,1000000,dividends_net_total,общая сумма дивидендов чистые
2026-04-17,1220000,dividends_net_total,общая сумма дивидендов чистые
2026-04-17,1750000,dividends_net_total,общая сумма дивидендов чистые
2026-05-04,1500000,dividends_net_total,общая сумма дивидендов чистые
2025-02-14,1795000,dividends_net_total,общая сумма дивидендов чистые
2025-03-18,731200,dividends_net_total,общая сумма дивидендов чистые
2025-04-12,1500000,dividends_net_total,общая сумма дивидендов чистые
2025-05-29,999000,dividends_net_total,общая сумма дивидендов чистые
2025-06-26,1000000,dividends_net_total,общая сумма дивидендов чистые
2025-06-30,1500000,dividends_net_total,общая сумма дивидендов чистые
2025-07-03,150000,dividends_net_total,общая сумма дивидендов чистые
2025-08-15,963800,dividends_net_total,общая сумма дивидендов чистые
2025-09-15,1000000,dividends_net_total,общая сумма дивидендов чистые
2025-11-05,600000,dividends_net_total,общая сумма дивидендов чистые
2025-11-14,600000,dividends_net_total,общая сумма дивидендов чистые
2025-12-04,1575000,dividends_net_total,общая сумма дивидендов чистые
2025-12-23,923367,dividends_net_total,общая сумма дивидендов чистые
2025-12-30,955000,dividends_net_total,общая сумма дивидендов чистые
2026-01-05,895000,dividends_net_total,общая сумма дивидендов чистые
2026-01-07,165600,dividends_net_total,общая сумма дивидендов чистые
2026-01-29,3000000,dividends_net_total,общая сумма дивидендов чистые
2026-02-24,3000000,dividends_net_total,общая сумма дивидендов чистые
2024-01-05,59000,dividends_total,общая сумма дивидендов
2024-01-17,600000,dividends_total,общая сумма дивидендов
2024-02-17,900000,dividends_total,общая сумма дивидендов
2024-03-18,900000,dividends_total,общая сумма дивидендов
2024-04-01,329000,dividends_total,апрель 2024
2024-07-01,600000,dividends_total,июль 2024
2024-08-01,750000,dividends_total,август 2024
2024-10-01,1783270,dividends_total,октябрь 2024
2024-11-01,1128000,dividends_total,ноябрь 2024
2024-12-01,2400000,dividends_total,декабрь 2024
2024-12-01,2045100,dividends_total,китайцы 20453 usdt
2024-12-01,1500000,dividends_total,декабрь 2024
2023-02-03,600000,dividends_total,общая сумма дивидендов
2023-03-03,956000,dividends_total,общая сумма дивидендов
2023-04-10,779350,dividends_total,общая сумма дивидендов
2023-04-18,901170,dividends_total,общая сумма дивидендов
2023-05-11,730840,dividends_total,5 и 11 мая 2023
2023-06-06,800000,dividends_total,общая сумма дивидендов
2023-07-18,600000,dividends_total,общая сумма дивидендов
2023-09-04,750000,dividends_total,общая сумма дивидендов
2023-09-04,180000,dividends_total,общая сумма дивидендов
2023-10-13,600000,dividends_total,общая сумма дивидендов
2023-12-11,850000,dividends_total,общая сумма дивидендов
2023-12-22,206000,dividends_total,общая сумма дивидендов
2023-12-22,915000,dividends_total,общая сумма дивидендов
2023-12-30,621000,dividends_total,общая сумма дивидендов
