unit,metric_name,scope,status,value,reason
b2c_moscow,Costs - Salary variable,show:22'07,inserted,143453,
b2c_moscow,Costs - Salary variable,show:ВДОХ,inserted,63291,
b2c_moscow,Costs - Salary variable,show:До свадьбы доживёт,inserted,196558,
b2c_moscow,Costs - Salary variable,show:Загадка Амулета,inserted,48360,
b2c_moscow,Costs - Salary variable,show:Иное место,inserted,37597,
b2c_moscow,Costs - Salary variable,show:Ответ Гиппократа,inserted,340779,
b2c_moscow,Costs - Salary variable,"show:Поезд, Чехов, два орла",inserted,89298,
b2c_moscow,Costs - Salary variable,show:Судный день,inserted,303094,
b2c_moscow,Costs - Salary variable,show:general,inserted,1222430,
b2c_spb,Costs - Salary variable,show:22'07,inserted,70700,
b2c_spb,Costs - Salary variable,show:ВДОХ,inserted,48400,
b2c_spb,Costs - Salary variable,show:До свадьбы доживёт,inserted,175000,
b2c_spb,Costs - Salary variable,show:Загадка Амулета,inserted,36000,
b2c_spb,Costs - Salary variable,show:Ответ Гиппократа,inserted,330400,
b2c_spb,Costs - Salary variable,show:Судный день,inserted,157850,
b2c_spb,Costs - Salary variable,show:general,inserted,818350,
